train,test
0.988938053,0.76289211
0.999170354,0.771981939
0.999861726,0.771090779
1,0.770853137
0.999723451,0.772338403
0.999723451,0.773645437
1,0.771566065
0.998755531,0.768833175
0.999170354,0.768060837
0.999861726,0.769427281
0.999170354,0.771981939
1,0.771566065
1,0.770674905
1,0.77394249
1,0.771328422
1,0.771387833
1,0.771328422
0.999585177,0.768120247
0.997234513,0.761406844
0.995713496,0.749584125
0.991841814,0.761406844
0.997234513,0.767882605
0.998755531,0.764436787
0.998617257,0.767169677
0.999170354,0.771625475
1,0.771269011
1,0.772576046
1,0.770437262
1,0.771803707
1,0.772397814
1,0.771328422
1,0.772219582
0.997234513,0.754218156
0.99903208,0.76651616
0.999308628,0.766456749
0.996543142,0.736751426
0.995160398,0.760040399
0.999308628,0.76467443
0.995990044,0.755703422
0.996404867,0.764199144
0.999446903,0.769783745
0.999585177,0.772278992
0.999861726,0.767050856
0.999446903,0.769011407
0.998755531,0.767050856
0.999723451,0.770140209
1,0.77025903
1,0.771090779
1,0.770793726
0.999861726,0.770377852
1,0.771090779
1,0.770912548
1,0.769367871
1,0.770377852
1,0.77019962
0.999861726,0.77115019
1,0.770437262
1,0.769724335
1,0.771803707
1,0.771328422
1,0.770377852
1,0.77299192
1,0.77019962
1,0.771625475
1,0.769664924
0.999723451,0.770377852
1,0.769843156
1,0.771684886
1,0.773467205
0.999446903,0.764139734
0.999861726,0.770080798
1,0.770912548
1,0.773051331
1,0.771863118
1,0.773051331
1,0.771744297
1,0.772278992
1,0.770971958
1,0.76930846
1,0.771031369
1,0.771981939
1,0.769961977
1,0.771744297
1,0.773467205
1,0.768179658
1,0.767763783
0.994054204,0.754218156
0.99903208,0.766337928
0.999585177,0.771803707
1,0.771031369
1,0.772219582
1,0.772457224
1,0.773288973
1,0.77210076
1,0.770853137
1,0.773704848
1,0.772813688
1,0.771506654
1,0.773586027
0.999861726,0.770615494
1,0.773407795
0.999861726,0.773467205
1,0.771684886
0.999861726,0.772754278
0.998202434,0.765981464
0.999308628,0.768179658
0.999861726,0.764317966
0.999170354,0.765625
0.999861726,0.769427281
0.999585177,0.769367871
1,0.769724335
1,0.769486692
1,0.768892586
1,0.769724335
1,0.770615494
1,0.771566065
0.999585177,0.768536122
1,0.770615494
1,0.771031369
1,0.771684886
1,0.771328422
1,0.770377852
1,0.771447243
